"Response.No","Tab.No","Survey.Date","Survey Start Date","Survey End Date","AC Name","Mandal Name","Village Name","no_data_flag"
18449,125,2015-06-02,"2015-05-29","2015-06-06","Jaggaiahpeta","Vatsavai","Vemavaram",0
18490,125,2015-07-14,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
18555,125,2015-07-05,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
18737,125,2015-06-01,"2015-05-29","2015-06-06","Jaggaiahpeta","Vatsavai","Vemavaram",0
18798,125,2015-07-14,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
18830,125,2015-07-11,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
19029,125,2015-07-13,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
20872,125,2015-06-06,"2015-05-29","2015-06-06","Jaggaiahpeta","Vatsavai","Vemavaram",0
21414,125,2015-05-24,"2015-05-23","2015-05-28","Jaggaiahpeta","Vatsavai","Allurupadu",0
21791,125,2015-05-30,"2015-05-29","2015-06-06","Jaggaiahpeta","Vatsavai","Vemavaram",0
22243,125,2015-06-12,"2015-06-09","2015-06-17","Jaggaiahpeta","Vatsavai","Machinenipalem",0
22332,125,2015-07-02,"2015-06-26","2015-07-03","Jaggaiahpeta","Vatsavai","Lingala",0
22523,125,2015-06-03,"2015-05-29","2015-06-06","Jaggaiahpeta","Vatsavai","Vemavaram",0
22524,125,2015-07-09,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
23001,125,2015-06-01,"2015-05-29","2015-06-06","Jaggaiahpeta","Vatsavai","Vemavaram",0
23050,125,2015-06-30,"2015-06-26","2015-07-03","Jaggaiahpeta","Vatsavai","Lingala",0
23112,125,2015-06-27,"2015-06-26","2015-07-03","Jaggaiahpeta","Vatsavai","Lingala",0
23433,125,2015-07-07,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
24488,125,2015-06-13,"2015-06-09","2015-06-17","Jaggaiahpeta","Vatsavai","Machinenipalem",0
25177,125,2015-06-10,"2015-06-09","2015-06-17","Jaggaiahpeta","Vatsavai","Machinenipalem",0
25223,125,2015-07-01,"2015-06-26","2015-07-03","Jaggaiahpeta","Vatsavai","Lingala",0
26364,125,2015-06-01,"2015-05-29","2015-06-06","Jaggaiahpeta","Vatsavai","Vemavaram",0
27104,125,2015-07-18,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
27142,125,2015-07-06,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
28133,125,2015-07-08,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
29022,125,2015-06-27,"2015-06-26","2015-07-03","Jaggaiahpeta","Vatsavai","Lingala",0
29173,125,2015-07-11,"2015-07-04","2015-07-18","Jaggaiahpeta","Vatsavai","Makkapeta",0
1301,126,2015-06-16,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
1560,126,2015-05-26,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
1901,126,2015-06-09,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
2699,126,2015-05-23,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
3200,126,2015-06-09,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
3221,126,2015-06-09,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
4635,126,2015-06-15,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
4755,126,2015-06-12,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
4786,126,2015-05-26,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
7395,126,2015-06-21,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
7807,126,2015-06-21,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
9661,126,2015-06-24,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
11920,126,2015-06-11,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
12780,126,2015-06-19,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
12946,126,2015-05-24,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
13411,126,2015-05-25,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
14763,126,2015-05-23,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
15026,126,2015-06-05,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
15185,126,2015-06-15,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
15322,126,2015-06-15,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
15653,126,2015-05-25,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
16655,126,2015-05-30,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
16692,126,2015-05-24,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
17536,126,2015-06-15,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
19466,126,2015-06-14,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
19623,126,2015-05-27,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
19851,126,2015-06-14,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
21984,126,2015-06-15,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
22214,126,2015-05-26,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
23125,126,2015-06-09,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
24359,126,2015-06-25,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
24786,126,2015-06-24,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
27461,126,2015-06-21,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
28204,126,2015-06-25,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
28458,126,2015-06-19,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
28732,126,2015-06-10,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
28838,126,2015-06-11,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
28927,126,2015-05-27,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
29161,126,2015-06-23,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
316,127,2015-06-06,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
654,127,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Dechupalem",0
2603,127,2015-06-06,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
2908,127,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Dechupalem",0
3009,127,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Dechupalem",0
6299,127,2015-06-09,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
6310,127,2015-06-15,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
6346,127,2015-06-10,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
8018,127,2015-06-05,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
8641,127,2015-05-23,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Dechupalem",0
9537,127,2015-06-14,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
11344,127,2015-06-16,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
11751,127,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Dechupalem",0
12349,127,2015-06-03,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
13550,127,2015-06-02,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
14095,127,2015-06-14,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
14367,127,2015-06-05,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
16628,127,2015-06-06,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
19237,127,2015-06-02,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
19802,127,2015-06-06,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
23249,127,2015-06-14,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
24264,127,2015-05-23,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Dechupalem",0
24651,127,2015-06-01,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
24680,127,2015-06-13,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
25555,127,2015-06-10,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
26023,127,2015-06-16,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
26920,127,2015-06-16,"2015-06-13","2015-06-17","Jaggaiahpeta","Vatsavai","Pedamodugapalli",0
27538,127,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Dechupalem",0
29392,127,2015-06-04,"2015-06-01","2015-06-12","Jaggaiahpeta","Vatsavai","Gopinenipalem",0
372,128,2015-05-24,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
978,128,2015-06-10,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
2566,128,2015-06-21,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
2770,128,2015-05-24,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
3116,128,2015-06-24,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
3601,128,2015-06-03,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
4081,128,2015-06-03,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
6105,128,2015-06-01,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
6148,128,2015-06-21,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
6490,128,2015-06-10,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
6561,128,2015-06-13,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
7942,128,2015-05-27,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
10653,128,2015-06-22,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
10992,128,2015-06-22,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
11087,128,2015-05-26,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
11992,128,2015-05-30,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
12311,128,2015-05-30,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
12637,128,2015-06-19,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
13301,128,2015-06-05,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
16076,128,2015-06-15,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
16788,128,2015-06-01,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
17911,128,2015-06-15,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
19216,128,2015-06-22,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
19622,128,2015-06-02,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
20760,128,2015-06-21,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
21748,128,2015-06-23,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
24691,128,2015-06-16,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
25409,128,2015-05-24,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
26058,128,2015-06-10,"2015-06-09","2015-06-25","Jaggaiahpeta","Vatsavai","Kambhampadu",0
27535,128,2015-06-03,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
27876,128,2015-05-27,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
29433,128,2015-05-25,"2015-05-24","2015-05-29","Jaggaiahpeta","Vatsavai","Talluru",0
29555,128,2015-06-05,"2015-05-30","2015-06-07","Jaggaiahpeta","Vatsavai","Kakaravai",0
585,129,2015-06-20,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
917,129,2015-07-16,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
1077,129,2015-06-30,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
1452,129,2015-05-27,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
2391,129,2015-07-01,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
3359,129,2015-06-30,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
4189,129,2015-07-14,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
4276,129,2015-06-09,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
4529,129,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
4681,129,2015-06-06,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
5357,129,2015-07-11,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
5357,129,2015-07-11,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
5381,129,2015-07-17,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
5396,129,2015-07-11,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
5396,129,2015-07-11,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
5450,129,2015-06-15,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
5609,129,2015-07-17,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
5936,129,2015-06-13,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
6948,129,2015-06-02,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
7001,129,2015-06-12,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
7086,129,2015-06-29,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
7220,129,2015-06-23,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
7306,129,2015-06-05,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
7538,129,2015-07-10,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
7538,129,2015-07-10,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
7567,129,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
7608,129,2015-06-20,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
7937,129,2015-07-20,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
8388,129,2015-05-27,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
8524,129,2015-05-27,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
8991,129,2015-06-15,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
10049,129,2015-06-14,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
10418,129,2015-06-09,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
10827,129,2015-06-20,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
12444,129,2015-06-25,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
12458,129,2015-06-21,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
12848,129,2015-06-04,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
14246,129,2015-07-17,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
15607,129,2015-06-04,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
16032,129,2015-06-22,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
16449,129,2015-06-23,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
16605,129,2015-06-21,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
16771,129,2015-06-30,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
16860,129,2015-06-14,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
17399,129,2015-07-13,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
17399,129,2015-07-13,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
17885,129,2015-06-14,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
18419,129,2015-07-13,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
18419,129,2015-07-13,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
18967,129,2015-07-17,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
19624,129,2015-05-27,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
20106,129,2015-06-22,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
20776,129,2015-06-06,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
21795,129,2015-07-01,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
22543,129,2015-07-09,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
22543,129,2015-07-09,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
22712,129,2015-07-21,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
22838,129,2015-05-27,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
24466,129,2015-07-06,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
24466,129,2015-07-06,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
25125,129,2015-07-01,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
25288,129,2015-06-14,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
25439,129,2015-05-26,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
25695,129,2015-07-17,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
26854,129,2015-06-23,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
27784,129,2015-06-10,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
27928,129,2015-07-18,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
28198,129,2015-06-13,"2015-06-12","2015-06-18","Jaggaiahpeta","Vatsavai","CH .M.Palli",0
28937,129,2015-05-27,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
29064,129,2015-06-10,"2015-05-30","2015-06-11","Jaggaiahpeta","Vatsavai","Indugapalli",0
29116,129,2015-07-03,"2015-06-26","2015-07-08","Jaggaiahpeta","Vatsavai","Dabbagupalli",0
29116,129,2015-07-03,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
29222,129,2015-06-23,"2015-06-19","2015-06-25","Jaggaiahpeta","Vatsavai","Chityala",0
29326,129,2015-05-27,"2015-05-23","2015-05-29","Jaggaiahpeta","Vatsavai","Gangavelli",0
29531,129,2015-07-10,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
29531,129,2015-07-10,"2015-07-03","2015-07-13","Jaggaiahpeta","Nadigama","Maagallu",0
439,130,2015-07-01,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
580,130,2015-06-17,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
1314,130,2015-06-11,"2015-06-05","2015-06-14","Jaggaiahpeta","Vatsavai","Vemulanarva",0
1651,130,2015-07-19,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
2160,130,2015-06-19,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
2412,130,2015-06-23,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
2771,130,2015-07-25,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
3471,130,2015-06-25,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
3548,130,2015-06-19,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
3703,130,2015-06-30,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
3748,130,2015-05-23,"2015-05-23","2015-05-28","Jaggaiahpeta","Vatsavai","P.V.Guduam",0
4828,130,2015-06-16,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
5311,130,2015-07-18,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
5832,130,2015-06-02,"2015-05-29","2015-06-04","Jaggaiahpeta","Vatsavai","Singavram",0
6792,130,2015-06-22,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
6816,130,2015-06-28,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
7508,130,2015-06-19,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
7527,130,2015-07-13,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
7626,130,2015-06-29,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
7765,130,2015-07-17,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
7961,130,2015-06-21,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
8338,130,2015-06-25,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
8497,130,2015-07-03,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
9184,130,2015-07-10,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
9821,130,2015-06-25,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
11003,130,2015-06-22,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
12524,130,2015-07-06,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
12759,130,2015-06-16,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
14527,130,2015-06-29,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
15574,130,2015-06-16,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
15883,130,2015-06-19,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
17237,130,2015-06-09,"2015-06-05","2015-06-14","Jaggaiahpeta","Vatsavai","Vemulanarva",0
18589,130,2015-07-10,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
19058,130,2015-06-28,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
20112,130,2015-06-16,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
20930,130,2015-07-19,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
20952,130,2015-07-09,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
21028,130,2015-07-03,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
21478,130,2015-07-04,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
21636,130,2015-06-26,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
21992,130,2015-06-22,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
22175,130,2015-07-17,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
22222,130,2015-07-15,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
22600,130,2015-07-23,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
22834,130,2015-07-20,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
22901,130,2015-06-11,"2015-06-05","2015-06-14","Jaggaiahpeta","Vatsavai","Vemulanarva",0
23778,130,2015-06-11,"2015-06-05","2015-06-14","Jaggaiahpeta","Vatsavai","Vemulanarva",0
24277,130,2015-06-30,"2015-06-25","2015-07-07","Jaggaiahpeta","Vatsavai","Polampalli",0
24281,130,2015-07-19,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
24456,130,2015-07-25,"2015-07-09","2015-07-25","Jaggaiahpeta","Vatsavai","Vatsavai",0
24848,130,2015-06-16,"2015-06-15","2015-06-24","Jaggaiahpeta","Vatsavai","Kanneveedu",0
24909,130,2015-05-26,"2015-05-23","2015-05-28","Jaggaiahpeta","Vatsavai","P.V.Guduam",0
24958,130,2015-06-12,"2015-06-05","2015-06-14","Jaggaiahpeta","Vatsavai","Vemulanarva",0
